B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,lat,lon
2000,1461,496,711,718,2019,1.2471242331288344,0.475337952375412,-0.4791208803653717,0.7128767123287671,2026-01-21,30.909029061395934,74.5961570298781
1653,1237,355,537,550,1760,1.2612049197415052,0.523809552192688,-0.5324336290359497,0.78554425449037,2026-01-21,30.929879509001832,74.62851763120194
2237,1894,725,871,1016,1863,0.8394449950445986,0.2941993772983551,-0.3628383278846741,0.4412224344504254,2026-01-21,30.947805281468618,74.58866567341316
2691,2038,834,1026,1115,2523,1.1895910780669143,0.3870258331298828,-0.42180895805358887,0.580458980349045,2026-01-21,30.90455291417864,74.60768666171342
1384,786,361,566,390,3375,2.4804719960113015,0.7928286790847778,-0.712763249874115,1.1890851148585844,2026-01-21,30.93693014556208,74.57405717033691
2147,1906,967,1163,1344,2004,0.5858334812710811,0.19713261723518372,-0.26555100083351135,0.2956547707928924,2026-01-21,30.956113530518316,74.65249723357155
1643,1574,944,1036,1152,1365,0.4444908180300501,0.08462455123662949,-0.13702623546123505,0.12691161866931477,2026-01-21,30.92715131426231,74.62120136705319
1723,1183,380,554,543,1845,1.4440993788819876,0.5452261567115784,-0.5381408929824829,0.8176679924638894,2026-01-21,30.929891469201372,74.6327044543122
1955,1524,791,932,999,1992,1.2083231929909954,0.33199599385261536,-0.3625170886516571,0.49791074711683103,2026-01-21,30.934310014064582,74.6012846228909
1560,1168,397,555,567,1587,1.267080745341615,0.4735375940799713,-0.48179271817207336,0.7101415641680204,2026-01-21,30.929876497771275,74.62747092581624
1728,1510,836,975,1061,1675,0.8662528216704289,0.22441519796848297,-0.2641509473323822,0.3365613009318473,2026-01-21,30.928113254437978,74.64213153590289
1789,1202,411,670,563,2895,1.826727244242519,0.6743782758712769,-0.6241233944892883,1.0114211363307792,2026-01-21,30.934382013212776,74.6253599251831
1329,799,275,499,318,2399,2.316855934090403,0.7659183144569397,-0.6556245684623718,1.1486660533578656,2026-01-21,30.926345562295907,74.65574495457749
1359,746,483,685,475,3293,2.793971842157446,0.7478768825531006,-0.6556058526039124,1.1216664455353589,2026-01-21,30.89382519632875,74.64225911121832
1344,656,243,501,243,3551,2.594509803921569,0.8719030022621155,-0.7527146935462952,1.3076821715641058,2026-01-21,30.954336630509093,74.66297351819361
2114,1886,867,1040,1217,1871,0.6120157215047726,0.21178756654262543,-0.2854689061641693,0.3176299174356484,2026-01-21,30.953261717774538,74.60225290701702
1913,1782,1045,1216,1363,1738,0.4508295263284443,0.12092873454093933,-0.17670954763889313,0.18136385619861356,2026-01-21,30.957842091521222,74.6252683915301
1954,1526,586,739,877,1823,0.8788554440728353,0.3503703773021698,-0.42310693860054016,0.5254582484725051,2026-01-21,30.91639179765234,74.64531488565802
1244,567,306,507,259,3897,2.8808995882166615,0.875360906124115,-0.7697547674179077,1.312883435582822,2026-01-21,30.92977894740629,74.59502313923898
1419,664,298,580,275,4423,2.7012242771555095,0.8829289078712463,-0.768139123916626,1.3242524209854207,2026-01-21,30.943283717136218,74.58554445773727
2165,1549,554,782,792,2033,1.1792094260737362,0.4392920434474945,-0.4444049596786499,0.6588214475314104,2026-02-05,30.909029061395934,74.5961570298781
1543,1084,375,560,557,1635,1.2445162779958439,0.4917883276939392,-0.4897494316101074,0.7375142531356899,2026-02-05,30.929879509001832,74.62851763120194
2286,1864,738,917,1069,1892,0.7422438672438672,0.2779466509819031,-0.34709861874580383,0.41684956947492824,2026-02-05,30.947805281468618,74.58866567341316
2905,2104,658,964,1083,2770,0.9731195200738347,0.43784064054489136,-0.4836636185646057,0.6566757493188011,2026-02-05,30.90455291417864,74.60768666171342
1520,794,446,645,437,3704,2.7389336016096575,0.788939893245697,-0.7033801078796387,1.1832669322709162,2026-02-05,30.93693014556208,74.57405717033691
2222,1885,950,1178,1325,2108,0.6671779141104295,0.2280803918838501,-0.2830188572406769,0.3420707732634338,2026-02-05,30.956113530518316,74.65249723357155
1756,1629,961,1107,1225,1485,0.39914031317163035,0.095940962433815,-0.1458333283662796,0.14388489208633093,2026-02-05,30.92715131426231,74.62120136705319
1856,1249,402,607,594,1847,1.3068418856904465,0.5133141875267029,-0.5052974820137024,0.7698136391562564,2026-02-05,30.929891469201372,74.6327044543122
2086,1549,647,858,917,2118,1.08452230449702,0.3957166373729706,-0.4233871102333069,0.5934771866249382,2026-02-05,30.934310014064582,74.6012846228909
1658,1204,414,589,605,1610,1.1762640449438202,0.45372459292411804,-0.4643019437789917,0.6804333107650643,2026-02-05,30.929876497771275,74.62747092581624
1842,1528,824,1019,1110,1827,0.7766464471403812,0.24412666261196136,-0.2839072346687317,0.3661276595744681,2026-02-05,30.928113254437978,74.64213153590289
1842,1162,412,681,558,3116,1.8948148148148147,0.6962438821792603,-0.6412957310676575,1.0442237039052933,2026-02-05,30.934382013212776,74.6253599251831
1408,654,279,515,268,3538,2.6763791127844168,0.8591697216033936,-0.7458672523498535,1.2885853145934585,2026-02-05,30.926345562295907,74.65574495457749
1378,695,359,585,367,3613,2.598047062590043,0.8155778646469116,-0.7212958335876465,1.2232131641753548,2026-02-05,30.89382519632875,74.64225911121832
1455,637,298,540,273,4184,2.725055741360089,0.877496063709259,-0.7713801860809326,1.3160964666292765,2026-02-05,30.954336630509093,74.66297351819361
2265,1925,896,1111,1298,1997,0.5699608610567515,0.21213960647583008,-0.2850707769393921,0.3181611288120164,2026-02-05,30.953261717774538,74.60225290701702
2005,1741,1031,1258,1387,1850,0.47428805572628563,0.14303366839885712,-0.190476194024086,0.21451737451737452,2026-02-05,30.957842091521222,74.6252683915301
2167,1659,629,832,983,1934,0.7631198844487241,0.32601988315582275,-0.39840924739837646,0.4889460154241645,2026-02-05,30.91639179765234,74.64531488565802
1422,630,277,493,241,4215,2.7716557399916306,0.8918312191963196,-0.7905692458152771,1.3375967687647257,2026-02-05,30.92977894740629,74.59502313923898
1565,680,338,597,280,4709,2.8722438391699088,0.8877530694007874,-0.7749717235565186,1.3314961418979858,2026-02-05,30.943283717136218,74.58554445773727
2302,1646,497,787,828,2147,0.9731444592002361,0.4433613419532776,-0.4635310173034668,0.6649302638212066,2026-02-15,30.909029061395934,74.5961570298781
1760,1274,290,540,570,1770,0.9946949602122015,0.5128205418586731,-0.5324675440788269,0.7690664387951291,2026-02-15,30.929879509001832,74.62851763120194
2401,1956,714,941,1131,1886,0.5688667872212176,0.25024858117103577,-0.33427661657333374,0.37531068765534387,2026-02-15,30.947805281468618,74.58866567341316
